Part Nbr,Part Description,Part Revision Nbr,MQI Rev Nbr,PO Nbr,Line Nbr,Sched Rel,Status Code,Buyer Code,Open Sched Qty,Need Date,Promise Date,Delivery Date,PO Status,Notes,Division Name,Last Rcpt Qty,Location Name,PO Rel,Last Rcpt Date,Accum Rcpt Qty,In Transit Qty,Orig Need Date,Orig Sched Qty,DivisionID,LocationCD,Company Nbr,Order Date,Contract Nbr,Stocking UOM,Supplier Name,Supplier ID
Part 9,GEAR HOUSING-GY -KB,B,13,KBA500328A,15,108,SH,12,40,12/22/2025,12/22/2025,12/22/2025,Open,N,FLUID SYSTEMS - IRVINE,47.0,"IRVINE, CA",0,11/07/2025,0,0.0,04/18/2000,40,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 9,GEAR HOUSING-GY -KB,B,13,KBA500328A,15,109,SH,12,40,12/22/2025,01/07/2026,12/22/2025,Open,N,FLUID SYSTEMS - IRVINE,47.0,"IRVINE, CA",0,11/07/2025,0,0.0,04/19/2000,40,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 26,"FITTING, SERVO PORT",-,3,LTA500328A,20,2,SH,12,13,12/22/2025,12/22/2025,12/22/2025,Open,N,FLUID SYSTEMS - IRVINE,3.0,"IRVINE, CA",0,11/17/2025,0,0.0,01/03/2000,8,687648,J1,66,12/12/2016,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 11,PISTON-ASSY-GY      -KB,A,11,KBA500328A,16,48,SH,12,40,12/23/2025,,12/23/2025,Open,N,FLUID SYSTEMS - IRVINE,40.0,"IRVINE, CA",0,11/18/2025,0,0.0,02/18/2000,40,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 10,HOUSING ASSY-GY,B,14,KBA500328A,20,24,SH,12,48,12/23/2025,,12/23/2025,Open,N,FLUID SYSTEMS - IRVINE,48.0,"IRVINE, CA",0,10/31/2025,0,0.0,01/25/2000,29,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,105,SH,12,18,12/23/2025,12/23/2025,11/24/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/15/2000,1,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,106,SH,12,18,12/23/2025,12/23/2025,12/05/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/16/2000,4,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,107,SH,12,18,12/23/2025,12/23/2025,12/08/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/17/2000,6,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,108,SH,12,18,12/23/2025,01/05/2026,12/18/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/18/2000,5,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 27,NOZZLE,D,5,LTA500328A,18,24,PL,12,170,10/06/2026,,10/06/2026,Open,N,FLUID SYSTEMS - IRVINE,30.0,"IRVINE, CA",0,10/14/2025,0,0.0,01/25/2000,3,687648,J1,66,12/12/2016,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,134,PL,12,18,10/07/2026,,10/07/2026,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,05/14/2000,17,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 11,PISTON-ASSY-GY      -KB,A,11,KBA500328A,16,61,PL,12,40,10/05/2026,,10/05/2026,Open,N,FLUID SYSTEMS - IRVINE,40.0,"IRVINE, CA",0,11/18/2025,0,0.0,03/02/2000,40,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 4,HOUSING ASSY,E,5,KBA500328A,17,89,PL,12,6,10/07/2026,,10/07/2026,Open,N,FLUID SYSTEMS - IRVINE,6.0,"IRVINE, CA",0,11/14/2025,0,0.0,03/30/2000,3,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 10,HOUSING ASSY-GY,B,14,KBA500328A,20,43,PL,12,48,10/12/2026,,10/12/2026,Open,N,FLUID SYSTEMS - IRVINE,48.0,"IRVINE, CA",0,10/31/2025,0,0.0,02/13/2000,51,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 28,"HOUSING, BEARING      -KB",-,1,KBA500328A,12,116,PL,12,12,10/06/2026,,10/06/2026,Open,N,FLUID SYSTEMS - IRVINE,12.0,"IRVINE, CA",0,11/26/2025,0,0.0,04/26/2000,12,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 26,"FITTING, SERVO PORT",-,3,LTA500328A,20,11,PL,12,17,10/07/2026,,10/07/2026,Open,N,FLUID SYSTEMS - IRVINE,3.0,"IRVINE, CA",0,11/17/2025,0,0.0,01/12/2000,17,687648,J1,66,12/12/2016,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 29,RETAINER. VALVE,-,1,LTA500328A,8,44,PL,12,18,10/08/2026,,10/08/2026,Open,N,FLUID SYSTEMS - IRVINE,148.0,"IRVINE, CA",0,11/25/2025,0,0.0,02/14/2000,18,687648,J1,66,12/12/2016,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 9,GEAR HOUSING-GY -KB,B,13,KBA500328A,15,137,PL,12,40,10/08/2026,,10/08/2026,Open,N,FLUID SYSTEMS - IRVINE,47.0,"IRVINE, CA",0,11/07/2025,0,0.0,05/17/2000,40,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 3,"FITTING,INLET KB-GY",-,7,KBA500328A,19,50,PL,12,20,10/08/2026,,10/08/2026,Open,N,FLUID SYSTEMS - IRVINE,29.0,"IRVINE, CA",0,11/14/2025,0,0.0,02/20/2000,10,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 30,CLEVIS-KB,-,1,KBA500328A,14,95,PL,12,15,10/06/2026,,10/06/2026,Open,N,FLUID SYSTEMS - IRVINE,15.0,"IRVINE, CA",0,11/25/2025,0,0.0,04/05/2000,15,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 13,RETAINER ASSY         -KB,D,3,KBA500328A,8,57,PL,12,16,10/13/2026,,10/13/2026,Open,N,FLUID SYSTEMS - IRVINE,14.0,"IRVINE, CA",0,11/07/2025,0,0.0,02/27/2000,16,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 28,"HOUSING, BEARING      -KB",-,1,KBA500328A,12,117,PL,12,12,10/13/2026,,10/13/2026,Open,N,FLUID SYSTEMS - IRVINE,12.0,"IRVINE, CA",0,11/26/2025,0,0.0,04/27/2000,12,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 9,GEAR HOUSING-GY -KB,B,13,KBA500328A,15,138,PL,12,40,10/15/2026,,10/15/2026,Open,N,FLUID SYSTEMS - IRVINE,47.0,"IRVINE, CA",0,11/07/2025,0,0.0,05/18/2000,40,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,135,PL,12,18,10/15/2026,,10/15/2026,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,05/15/2000,18,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 4,HOUSING ASSY,E,5,KBA500328A,17,90,PL,12,6,10/14/2026,,10/14/2026,Open,N,FLUID SYSTEMS - IRVINE,6.0,"IRVINE, CA",0,11/14/2025,0,0.0,03/31/2000,3,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,136,PL,12,18,10/15/2026,,10/15/2026,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,05/16/2000,1,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 25,ASSY-HOUSING,E,10,LTA500328A,17,65,PL,12,20,10/20/2026,,10/20/2026,Open,N,FLUID SYSTEMS - IRVINE,123.0,"IRVINE, CA",0,11/04/2025,0,0.0,03/06/2000,20,687648,J1,66,12/12/2016,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 15,BRACKET               -KB,-,2,KBA500328A,9,58,PL,12,20,10/16/2026,,10/16/2026,Open,N,FLUID SYSTEMS - IRVINE,19.0,"IRVINE, CA",0,07/09/2025,0,0.0,02/28/2000,20,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 28,"HOUSING, BEARING      -KB",-,1,KBA500328A,12,118,PL,12,12,10/23/2026,,10/23/2026,Open,N,FLUID SYSTEMS - IRVINE,12.0,"IRVINE, CA",0,11/26/2025,0,0.0,04/28/2000,3,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 31,STUB PIPE-GY,C,8,LTA5F0328A,8,74,PL,12,30,10/16/2026,,10/16/2026,Open,N,FLUID SYSTEMS - IRVINE,24.0,"IRVINE, CA",0,11/07/2025,0,0.0,03/15/2000,52,687648,J1,66,05/22/2017,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 6,"FITTING, CABLE        -KB",A,5,KBA500328A,11,43,PL,12,10,10/20/2026,,10/20/2026,Open,N,FLUID SYSTEMS - IRVINE,10.0,"IRVINE, CA",0,08/13/2025,0,0.0,02/13/2000,10,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 30,CLEVIS-KB,-,1,KBA500328A,14,96,PL,12,15,10/20/2026,,10/20/2026,Open,N,FLUID SYSTEMS - IRVINE,15.0,"IRVINE, CA",0,11/25/2025,0,0.0,04/06/2000,15,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 11,PISTON-ASSY-GY      -KB,A,11,KBA500328A,16,62,PL,12,40,10/22/2026,,10/22/2026,Open,N,FLUID SYSTEMS - IRVINE,40.0,"IRVINE, CA",0,11/18/2025,0,0.0,03/03/2000,38,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 5,PISTON                -KB,-,1,KBA500328A,7,56,PL,12,16,10/23/2026,,10/23/2026,Open,N,FLUID SYSTEMS - IRVINE,20.0,"IRVINE, CA",0,10/09/2025,0,0.0,02/26/2000,16,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 12,CLAMP DISK RING       -KB,D,9,KBA500328A,6,73,PL,12,10,10/15/2026,,10/15/2026,Open,N,FLUID SYSTEMS - IRVINE,7.0,"IRVINE, CA",0,11/07/2025,0,0.0,03/14/2000,10,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 24,BODY-KB-GY,K,21,KBA500328A,2,88,PL,12,16,10/29/2026,,10/29/2026,Open,N,FLUID SYSTEMS - IRVINE,16.0,"IRVINE, CA",0,11/17/2025,0,0.0,03/29/2000,16,687648,J1,66,04/25/2018,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 3,"FITTING,INLET KB-GY",-,7,KBA500328A,19,51,PL,12,20,10/23/2026,,10/23/2026,Open,N,FLUID SYSTEMS - IRVINE,29.0,"IRVINE, CA",0,11/14/2025,0,0.0,02/21/2000,4,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 4,HOUSING ASSY,E,5,KBA500328A,17,91,PL,12,6,10/26/2026,,10/26/2026,Open,N,FLUID SYSTEMS - IRVINE,6.0,"IRVINE, CA",0,11/14/2025,0,0.0,04/01/2000,3,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 12,CLAMP DISK RING       -KB,D,9,KBA500328A,6,74,PL,12,10,10/27/2026,,10/27/2026,Open,N,FLUID SYSTEMS - IRVINE,7.0,"IRVINE, CA",0,11/07/2025,0,0.0,03/15/2000,10,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 9,GEAR HOUSING-GY -KB,B,13,KBA500328A,15,139,PL,12,40,10/27/2026,,10/27/2026,Open,N,FLUID SYSTEMS - IRVINE,47.0,"IRVINE, CA",0,11/07/2025,0,0.0,05/19/2000,40,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 24,BODY-KB-GY,K,21,KBA500328A,2,89,PL,12,16,10/29/2026,,10/29/2026,Open,N,FLUID SYSTEMS - IRVINE,16.0,"IRVINE, CA",0,11/17/2025,0,0.0,03/30/2000,16,687648,J1,66,04/25/2018,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 8,BODY-KB-GY,J,20,KBA500328A,4,69,PL,12,24,10/29/2026,,10/29/2026,Open,N,FLUID SYSTEMS - IRVINE,24.0,"IRVINE, CA",0,11/04/2025,0,0.0,03/10/2000,24,687648,J1,66,04/25/2018,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
